PolicyID,HolderAge,VehicleType,AnnualMileage,LocationUrban,CreditScore,PolicyStart,PolicyEnd,NextYearLoss
POL-003979,26.05966107,Sedan,20105.62998,1,0.963918424,2023/8/19,2024/8/19,0
POL-000860,27.46660314,SUV,15506.8912,1,0.960080712,2023/6/29,2024/6/29,1379.633505
POL-009709,42.55593899,Sedan,13736.35139,1,0.877587476,2023/8/13,2024/8/13,0
POL-009756,39.22174822,Sedan,6421.149363,1,0.823525744,2023/9/5,2024/9/5,0
POL-003601,32.81036318,Sedan,18398.90809,1,0.885720353,2023/7/23,2024/7/23,0
POL-005148,68.32447945,SUV,10034.99635,0,0.863576193,2023/9/5,2024/9/5,0
POL-007242,68.85709753,Sedan,30869.41327,1,0.693168093,2023/6/17,2024/6/17,0
POL-008662,44.71583732,Sports,17384.09671,1,0.80071097,2023/10/22,2024/10/22,0
POL-009946,38.5223341,Sedan,7630.582237,1,0.810346704,2023/2/28,2024/2/28,0
POL-004287,66.19787377,Sedan,25098.59531,0,0.717285438,2023/9/3,2024/9/3,1932.586372
POL-007272,75.02043054,SUV,8036.457733,0,0.871597415,2023/7/21,2024/7/21,0
POL-008287,45.73063751,Sedan,15460.03287,0,0.862470949,2023/1/26,2024/1/26,0
POL-000072,35.94066395,SUV,126695.5351,0,0.944460197,2023/8/6,2024/8/6,0
POL-000147,52.17314456,SUV,10063.71975,1,0.915069592,2023/12/9,2024/12/9,0
POL-001799,27.94088407,Sedan,37813.19073,0,0.648365891,2023/7/10,2024/7/10,0
POL-007848,47.62985431,Sedan,25381.00964,1,0.763658925,2023/1/7,2024/1/7,0
POL-007597,36.47004725,Sedan,5222.527687,1,0.721981755,2023/10/19,2024/10/19,0
POL-009311,39.021672,SUV,7677.673702,0,0.871259575,2023/7/10,2024/7/10,0
POL-006420,48.04217179,Sedan,13206.20042,0,0.689480752,2023/8/26,2024/8/26,0
POL-005449,49.55498618,Sedan,18146.09207,1,0.803431274,2023/10/7,2024/10/7,0
POL-009282,72.44767286,Sports,16822.49083,0,0.920699461,2023/11/11,2024/11/11,0
POL-009301,39.03283843,SUV,16710.92812,0,0.875133059,2023/9/15,2024/9/15,0
POL-005038,75.87312027,Sedan,39113.92749,0,0.73176151,2023/5/8,2024/5/8,0
POL-005807,42.16855508,Sedan,13130.28309,0,0.732637233,2023/6/24,2024/6/24,0
POL-002388,51.81814804,Sedan,12952.49681,1,0.55750608,2023/12/27,2024/12/27,4269.789216
POL-006269,40.62589264,SUV,12122.95869,1,0.604197922,2023/5/30,2024/5/30,0
POL-002323,52.10347117,Sedan,11428.90717,0,0.876627642,2023/4/29,2024/4/29,0
POL-000360,50.77002382,SUV,7559.826104,0,0.988976916,2023/1/6,2024/1/6,0
POL-003447,61.76603359,Sedan,19973.9373,1,0.709735216,2023/8/24,2024/8/24,0
POL-005254,28.90462535,SUV,13434.82156,1,0.674505284,2023/6/9,2024/6/9,0
POL-004888,55.46157663,Sedan,38842.5561,0,0.933921549,2023/2/4,2024/2/4,0
POL-008834,48.28270021,SUV,11251.42288,1,0.817948635,2023/12/22,2024/12/22,0
POL-008544,54.32866653,SUV,15497.85022,0,0.92033534,2023/6/5,2024/6/5,0
POL-007772,56.6485123,SUV,6391.120537,1,0.686505761,2023/1/6,2024/1/6,0
POL-000055,51.6863983,Sedan,7649.089188,0,0.935311848,2023/8/18,2024/8/18,3088.089117
POL-005394,51.07909037,SUV,7466.571238,0,0.982966104,2023/8/14,2024/8/14,0
POL-006763,34.11880901,Sedan,10565.33684,1,0.833910459,2023/4/10,2024/4/10,0
POL-004543,36.69307498,Sedan,18164.66025,1,0.723901592,2023/2/24,2024/2/24,0
POL-007422,55.75291429,Sedan,13945.77025,1,0.844353299,2023/6/18,2024/6/18,0
POL-009473,67.10681314,Sedan,14278.29575,0,0.899127831,2023/8/25,2024/8/25,0
POL-003866,42.64864471,SUV,15928.04994,1,0.717125293,2023/3/14,2024/3/14,0
POL-000183,70.58314828,Sedan,17476.94239,1,0.914326685,2023/9/4,2024/9/4,0
POL-000500,78.83085539,Sedan,14951.88182,1,0.826574389,2023/8/28,2024/8/28,0
POL-000645,31.4804401,Sedan,5199.870499,0,0.587060101,2023/5/23,2024/5/23,0
POL-002094,48.72865845,SUV,12741.3207,1,0.872084971,2023/5/26,2024/5/26,0
POL-004384,50.39090947,Sedan,23547.16422,1,0.873844678,2023/7/31,2024/7/31,1750.872695
POL-001529,61.68372839,Sedan,5521.642814,1,0.892589509,2023/12/27,2024/12/27,0
POL-005722,45.09165727,Sedan,26826.49927,1,0.95979838,2023/6/2,2024/6/2,0
POL-005168,32.15043694,Sedan,28204.31229,1,0.811704937,2023/2/23,2024/2/23,0
POL-007562,54.53797252,SUV,17565.24255,0,0.678826906,2023/6/10,2024/6/10,0
POL-006730,61.93578859,Sedan,23131.17464,0,0.892031858,2023/11/20,2024/11/20,0
POL-006471,54.27446917,Sedan,6051.135338,1,0.62007479,2023/3/14,2024/3/14,0
POL-008400,74.085168,Sedan,22604.38917,0,0.777922725,2023/1/8,2024/1/8,5827.900498
POL-003337,69.08493257,SUV,35858.33343,0,0.934047376,2023/12/29,2024/12/29,0
POL-006157,58.38522951,Sedan,22487.13939,1,0.744914046,2023/11/10,2024/11/10,0
POL-002903,16.1525816,Sedan,5490.363548,0,0.929119364,2023/2/24,2024/2/24,28565.61256
POL-001642,64.11967176,SUV,8012.101965,1,0.711523495,2023/10/31,2024/10/31,0
POL-001389,75.87344996,Sports,25276.06358,1,0.476019814,2023/2/4,2024/2/4,3347.4761
POL-009625,43.80778929,Sedan,13492.40559,0,0.77319708,2023/9/30,2024/9/30,0
POL-007746,51.74986159,Sedan,20597.43685,1,0.943573658,2023/9/21,2024/9/21,0
POL-008347,62.17038736,SUV,20570.06432,0,0.651124319,2023/12/16,2024/12/16,0
POL-000991,61.47103542,SUV,11927.85094,1,0.960575033,2023/3/15,2024/3/15,0
POL-000341,47.54148715,Sedan,24645.21315,1,0.757273777,2023/5/21,2024/5/21,0
POL-002675,67.59291544,Sedan,21303.79083,1,0.881211291,2023/9/17,2024/9/17,0
POL-001055,82.61214428,Sports,7411.730498,0,0.614349199,2023/4/11,2024/4/11,0
POL-009494,34.93511365,Sedan,18376.17756,1,0.789121084,2023/6/28,2024/6/28,8146.143212
POL-005982,21.82711144,SUV,19110.25971,1,0.940201663,2023/7/4,2024/7/4,0
POL-007003,63.41848991,SUV,15595.34068,1,0.774814815,2023/3/1,2024/3/1,0
POL-000823,41.83276684,Sports,11101.84106,1,0.771185731,2023/6/14,2024/6/14,0
POL-000166,63.67946736,Sedan,16490.32549,1,0.995638048,2023/9/19,2024/9/19,0
POL-003220,57.8232985,Sedan,31498.07611,1,0.67461728,2023/1/27,2024/1/27,1510.164519
POL-003445,77.78095752,Sedan,38273.56922,0,0.914072909,2023/7/14,2024/7/14,0
POL-004364,48.731388,SUV,12315.94587,1,0.878441976,2023/3/3,2024/3/3,0
POL-008918,63.28690977,SUV,16683.00084,0,0.659456372,2023/3/27,2024/3/27,0
POL-000988,45.50472756,Sedan,11868.38117,0,0.841920452,2023/11/28,2024/11/28,11364.26319
POL-000542,52.03095378,SUV,14170.43805,1,0.486539071,2023/7/15,2024/7/15,0
POL-001961,31.38800565,Sports,14885.40035,1,0.844821768,2023/5/20,2024/5/20,0
POL-002746,60.43271122,Sedan,13993.45125,0,0.919539588,2023/9/23,2024/9/23,0
POL-009083,41.72774331,Sedan,17441.46202,0,0.676724674,2023/10/30,2024/10/30,8886.626208
POL-002753,38.80504031,Sedan,18316.41713,1,0.813550753,2023/12/21,2024/12/21,0
POL-002891,41.78205301,SUV,9476.52815,0,0.893491691,2023/6/12,2024/6/12,0
POL-002291,52.22429247,Sedan,9912.702886,0,0.725877169,2023/4/7,2024/4/7,0
POL-008444,44.8591455,Sedan,11478.55131,1,0.645056451,2023/10/28,2024/10/28,10188.88019
POL-001603,37.29646592,Sports,4923.883586,0,0.974065687,2023/2/1,2024/2/1,0
POL-004758,60.24940013,SUV,5920.364119,0,0.960286818,2023/10/3,2024/10/3,0
POL-007275,45.34253547,Sedan,10468.28255,0,0.895667839,2023/10/16,2024/10/16,0
POL-004347,61.49259874,Sedan,17211.88246,0,0.910463029,2023/10/2,2024/10/2,0
POL-004277,44.3429889,Sedan,20307.44589,1,0.701835983,2023/4/22,2024/4/22,0
POL-000524,64.12533181,Sedan,27912.14214,1,0.755318346,2023/6/17,2024/6/17,0
POL-004821,39.84644157,Sedan,10257.84604,1,0.735810263,2023/4/23,2024/4/23,0
POL-002809,47.00321453,Sedan,17653.38295,1,0.701927115,2023/1/15,2024/1/15,0
POL-002218,39.73444581,SUV,14848.90089,1,0.723554183,2023/11/29,2024/11/29,6836.454243
POL-009659,53.55202646,SUV,12468.46189,1,0.752943932,2023/9/5,2024/9/5,45351.2861
POL-000424,47.64494734,Sedan,8814.947012,1,0.904768171,2023/5/23,2024/5/23,0
POL-004667,30.52267731,Sedan,15597.59498,1,0.677792628,2023/2/12,2024/2/12,1443.12902
POL-009515,52.77596,SUV,9862.629673,0,0.793389473,2023/9/16,2024/9/16,0
POL-004548,53.89189083,Sedan,28238.91155,1,0.756411204,2023/9/13,2024/9/13,0
POL-009562,28.02562638,Sedan,25167.23319,1,0.70761578,2023/12/19,2024/12/19,0
POL-005756,43.67760147,SUV,13323.62848,0,0.657831406,2023/5/30,2024/5/30,0
POL-006402,66.98716258,SUV,13450.9342,1,0.624079627,2023/12/16,2024/12/16,0
POL-008543,61.75695343,Sedan,17502.82277,0,0.680120703,2023/9/12,2024/9/12,0
POL-006318,50.83913389,SUV,11944.76667,1,0.751684154,2023/7/1,2024/7/1,4395.225587
POL-004007,42.87955594,Sedan,11030.8796,0,0.7441903,2023/3/31,2024/3/31,0
POL-002815,50.3537226,Sedan,39103.17862,1,0.688640278,2023/7/31,2024/7/31,0
POL-007974,68.87996019,SUV,13577.9508,1,0.923042214,2023/2/25,2024/2/25,1828.645493
POL-008167,26.22690588,Sports,11240.64088,1,0.8432315,2023/5/28,2024/5/28,0
POL-008932,37.33239038,Sports,20910.25926,1,0.71735424,2023/3/20,2024/3/20,1011.839965
POL-007185,37.36419566,Sedan,10841.52637,0,0.920783832,2023/2/14,2024/2/14,2063.915038
POL-002024,26.2258504,Sports,5363.049654,0,0.917038389,2023/6/18,2024/6/18,0
POL-000383,52.99816032,Sedan,24691.63977,1,0.533146225,2023/2/25,2024/2/25,0
POL-007456,83.2613141,Sedan,20025.25247,0,0.930656418,2023/12/18,2024/12/18,0
POL-007691,28.0327417,Sedan,23879.33764,1,0.741049207,2023/11/12,2024/11/12,0
POL-009778,81.34486281,Sedan,17438.0483,1,0.909065852,2023/3/21,2024/3/21,1880.078609
POL-007834,66.54212782,Sedan,21939.10646,0,0.94199569,2023/5/18,2024/5/18,0
POL-009010,50.93418691,Sedan,13231.02444,1,0.768010704,2023/8/26,2024/8/26,0
POL-006581,66.93115267,SUV,10774.50812,1,0.878297762,2023/12/22,2024/12/22,0
POL-006045,56.24169986,Sedan,10912.65425,1,0.514206103,2023/3/20,2024/3/20,4195.331865
POL-007231,20.31623584,Sedan,12006.52023,1,0.755455008,2023/11/3,2024/11/3,0
POL-005889,61.55342148,Sedan,8238.253829,0,0.96344255,2023/12/5,2024/12/5,0
POL-005264,26.45347869,Sedan,22148.60319,1,0.952837287,2023/8/14,2024/8/14,8474.890215
POL-002916,54.50426668,Sedan,12971.84686,1,0.7598287,2023/5/11,2024/5/11,0
POL-007849,31.39616419,Sedan,10626.94613,1,0.811874638,2023/9/11,2024/9/11,2623.209588
POL-009382,40.52777888,Sedan,12467.65032,1,0.882279737,2023/12/10,2024/12/10,0
POL-009821,53.32017468,Sedan,23042.12329,0,0.775514518,2023/8/5,2024/8/5,3063.742302
POL-003779,54.23320256,SUV,19970.0029,0,0.866166041,2023/12/17,2024/12/17,0
POL-000014,36.61287366,Sedan,11694.21201,1,0.874486534,2023/4/30,2024/4/30,0
POL-005897,69.66912702,SUV,13000.06823,0,0.747462698,2023/12/5,2024/12/5,0
POL-005809,53.03011922,SUV,10265.88332,0,0.893435404,2023/6/11,2024/6/11,0
POL-007391,53.91341807,SUV,31175.90622,0,0.964649098,2023/12/19,2024/12/19,0
POL-000299,52.73822251,Sedan,8429.657061,1,0.896527759,2023/8/21,2024/8/21,0
POL-004298,33.40811562,Sedan,8691.000097,1,0.73132675,2023/9/9,2024/9/9,0
POL-006379,75.58226153,Sedan,4919.046173,1,0.822693505,2023/7/18,2024/7/18,0
POL-001805,42.45290462,Sports,10555.14277,0,0.543526783,2023/11/25,2024/11/25,0
POL-002367,31.68851789,SUV,8179.867415,0,0.772975437,2023/8/19,2024/8/19,0
POL-000310,39.27950461,Sedan,8319.626417,0,0.958601574,2023/10/21,2024/10/21,0
POL-007258,25.37048867,Sports,14214.28483,1,0.888498349,2023/5/22,2024/5/22,0
POL-002205,58.20700415,Sedan,37013.88407,1,0.81597405,2023/4/21,2024/4/21,0
POL-003277,64.2052945,Sedan,31931.71052,1,0.458898708,2023/7/3,2024/7/3,0
POL-006122,31.07997757,SUV,9665.761686,0,0.924630711,2023/8/2,2024/8/2,0
POL-004144,63.43592338,Sedan,13260.16427,0,0.905744874,2023/3/7,2024/3/7,0
POL-006929,56.13262582,Sedan,19711.57917,0,0.930117865,2023/3/25,2024/3/25,0
POL-003692,48.78219167,Sedan,18409.60921,1,0.74142747,2023/8/2,2024/8/2,0
POL-005525,48.93384139,Sedan,10134.00546,1,0.802017611,2023/7/11,2024/7/11,0
POL-006186,61.66429428,SUV,7204.066538,1,0.962315803,2023/11/20,2024/11/20,8118.024039
POL-000999,73.28057581,Sedan,8664.753171,0,0.736643943,2023/8/20,2024/8/20,0
POL-006665,67.85612416,Sedan,16665.96258,1,0.834986239,2023/10/5,2024/10/5,5327.881198
POL-008191,66.30669702,Sedan,8631.779288,1,0.887909232,2023/9/28,2024/9/28,0
POL-007072,45.42130093,Sedan,20268.9408,1,0.807302434,2023/6/7,2024/6/7,0
POL-000610,55.76799232,SUV,16132.34098,0,0.462154367,2023/11/22,2024/11/22,0
POL-003577,35.76178638,Sedan,11467.50698,0,0.747542259,2023/8/25,2024/8/25,0
POL-009296,68.57434688,Sedan,10937.54886,1,0.92973432,2023/10/3,2024/10/3,7016.112789
POL-005888,69.84238042,Sedan,13016.43274,1,0.95782121,2023/11/22,2024/11/22,0
POL-003928,54.34443785,Sedan,12711.83108,0,0.774797543,2023/7/28,2024/7/28,44682.11308
POL-000206,20.28990679,Sedan,13774.033,1,0.946498591,2023/3/12,2024/3/12,0
POL-005726,53.62905645,Sedan,15005.36481,1,0.906930573,2023/4/14,2024/4/14,0
POL-007215,33.17717348,SUV,18265.26523,1,0.781194567,2023/11/30,2024/11/30,0
POL-007425,46.72376572,Sedan,22191.10179,0,0.710186741,2023/8/12,2024/8/12,3364.82892
POL-007386,41.51787569,SUV,18780.80272,0,0.901596999,2023/9/7,2024/9/7,0
POL-001117,29.53015749,Sports,11524.33486,1,0.828377967,2023/1/13,2024/1/13,0
POL-003825,36.45306351,Sedan,15734.35745,1,0.865866673,2023/5/29,2024/5/29,0
POL-001460,54.31651744,SUV,26089.90962,0,0.561557498,2023/12/29,2024/12/29,0
POL-007642,41.80141565,Sedan,7179.8984,1,0.612848723,2023/1/27,2024/1/27,0
POL-007924,28.61966255,SUV,10790.15513,1,0.833665807,2023/2/11,2024/2/11,0
POL-009370,51.00840836,Sedan,23672.9516,1,0.420372622,2023/3/19,2024/3/19,0
POL-004121,40.22808693,SUV,9350.602203,1,0.88470226,2023/3/30,2024/3/30,0
POL-002306,44.18558315,Sedan,20109.0635,1,0.91080187,2023/2/3,2024/2/3,5315.219497
POL-001775,60.74826493,Sports,13791.69417,1,0.871709535,2023/9/28,2024/9/28,0
POL-005727,35.86361364,Sedan,21827.358,1,0.805730438,2023/1/3,2024/1/3,0
POL-007706,23.88319789,Sports,19695.70056,1,0.852765377,2023/8/19,2024/8/19,0
POL-008805,55.59175572,Sedan,17469.34613,1,0.857598918,2023/10/12,2024/10/12,0
POL-007820,50.42233163,Sedan,7098.974275,0,0.906000435,2023/3/13,2024/3/13,0
POL-001645,29.35432472,Sedan,18809.88112,0,0.958071729,2023/3/26,2024/3/26,0
POL-005656,32.11967381,Sedan,9115.933,1,0.700385321,2023/6/2,2024/6/2,0
POL-008692,54.28946829,SUV,14645.50052,1,0.866580823,2023/6/13,2024/6/13,0
POL-006676,65.25502882,Sedan,14695.37049,0,0.982589653,2023/10/22,2024/10/22,0
POL-004495,57.95687729,SUV,5522.114995,1,0.572485779,2023/4/16,2024/4/16,0
POL-004841,73.93620904,Sedan,10145.21716,1,0.811333604,2023/11/3,2024/11/3,0
POL-006942,65.85163027,Sedan,20270.47423,0,0.786859276,2023/10/16,2024/10/16,0
POL-007987,60.58092856,Sedan,13034.5583,1,0.54424492,2023/8/1,2024/8/1,0
POL-001926,29.64090431,SUV,12790.22379,1,0.868168235,2023/8/23,2024/8/23,0
POL-006382,48.98534265,Sedan,21144.78191,1,0.934291746,2023/2/1,2024/2/1,0
POL-002091,60.11403425,Sedan,9282.281739,1,0.95225741,2023/7/23,2024/7/23,0
POL-007359,35.85973775,SUV,40500.50652,1,0.905802972,2023/6/17,2024/6/17,0
POL-005088,27.13350725,Sedan,13440.12582,1,0.771787874,2023/7/26,2024/7/26,0
POL-008195,43.49493489,Sedan,8822.513074,1,0.902265076,2023/3/28,2024/3/28,0
POL-004874,37.79917644,SUV,17941.8576,0,0.839564507,2023/10/17,2024/10/17,0
POL-009698,58.39298962,SUV,7972.437382,1,0.619885719,2023/5/19,2024/5/19,1365.806888
POL-000079,42.78226881,Sedan,33743.97204,1,0.7501089,2023/11/7,2024/11/7,0
POL-007634,78.2715936,SUV,8599.194617,1,0.900148408,2023/8/21,2024/8/21,4538.053633
POL-002141,62.65308295,SUV,12019.81746,1,0.644343199,2023/12/20,2024/12/20,4486.748068
POL-003407,65.20465277,SUV,29818.58942,0,0.78125426,2023/11/30,2024/11/30,0
POL-001586,32.52319415,SUV,9363.576022,1,0.84338784,2023/9/22,2024/9/22,0
POL-009221,29.64381838,Sedan,12272.38171,0,0.754080156,2023/6/28,2024/6/28,0
POL-006638,51.25301254,Sedan,12333.8257,0,0.738392923,2023/8/6,2024/8/6,0
POL-003346,57.02243808,Sedan,13778.10079,0,0.942627334,2023/4/10,2024/4/10,4251.021185
POL-006363,37.92556229,SUV,18569.80833,0,0.767800469,2023/12/23,2024/12/23,0
POL-005512,70.87832245,SUV,7873.874384,1,0.910076473,2023/7/19,2024/7/19,0
POL-005541,30.61267772,Sedan,8443.115604,1,0.797855546,2023/6/13,2024/6/13,0
POL-000646,67.61768988,Sedan,12199.04333,0,0.776389091,2023/3/31,2024/3/31,0
POL-004796,41.32040627,SUV,13597.98265,1,0.611309276,2023/12/8,2024/12/8,0
POL-001387,59.9957169,Sedan,12608.19376,1,0.855455167,2023/11/12,2024/11/12,0
POL-007598,20.85505226,Sedan,25017.91981,0,0.736632309,2023/10/7,2024/10/7,0
POL-002598,47.72909133,Sedan,16828.22027,0,0.630660062,2023/3/30,2024/3/30,0
POL-009079,57.33067331,Sedan,10315.95281,1,0.874843526,2023/8/16,2024/8/16,0
POL-000509,73.22917848,SUV,7268.630348,0,0.611484086,2023/6/21,2024/6/21,2366.186691
POL-006641,59.06821856,SUV,12867.74406,0,0.509269497,2023/8/12,2024/8/12,0
POL-006569,43.80848056,Sports,13904.55057,1,0.535621989,2023/7/10,2024/7/10,0
POL-001485,41.48521622,Sedan,8664.420363,0,0.554599908,2023/8/27,2024/8/27,0
POL-005633,35.32270126,Sports,9835.739356,0,0.541962382,2023/9/18,2024/9/18,0
POL-009749,24.49180737,Sports,5787.545575,0,0.923524121,2023/12/13,2024/12/13,0
POL-002038,33.39669234,SUV,16110.12578,1,0.859043323,2023/8/5,2024/8/5,0
POL-001339,28.01952646,SUV,10514.34577,1,0.794564312,2023/7/5,2024/7/5,0
POL-008224,68.20465617,SUV,24157.89501,1,0.758743418,2023/3/16,2024/3/16,0
POL-008196,41.1731086,Sedan,17895.87218,1,0.931157785,2023/3/27,2024/3/27,0
POL-002724,46.32272366,Sports,17211.09891,0,0.805925948,2023/8/10,2024/8/10,7015.096941
POL-003732,75.61335059,Sedan,19610.20009,1,0.831468716,2023/5/16,2024/5/16,0
POL-004463,81.90364929,Sedan,10538.11221,0,0.875109179,2023/2/2,2024/2/2,0
POL-002913,57.66854617,Sports,13594.32907,1,0.737138787,2023/10/17,2024/10/17,6965.695029
POL-003646,33.58234627,SUV,10215.20672,0,0.90205157,2023/7/9,2024/7/9,0
POL-009457,43.58206285,Sedan,10162.97043,1,0.758127955,2023/3/10,2024/3/10,0
POL-009434,40.11589894,Sedan,8667.504697,1,0.685451318,2023/1/23,2024/1/23,0
POL-008275,48.62705368,SUV,5138.651139,1,0.893364796,2023/9/29,2024/9/29,0
POL-003417,41.01736909,Sedan,10431.31552,0,0.799373951,2023/11/3,2024/11/3,6566.119296
POL-003073,41.02254375,Sedan,17912.11793,0,0.724618244,2023/6/16,2024/6/16,0
POL-004659,35.45715243,Sedan,9224.636613,1,0.60041818,2023/1/13,2024/1/13,7008.411713
POL-001864,49.56377977,Sports,15757.83937,1,0.79864476,2023/9/16,2024/9/16,0
POL-007126,47.18870503,Sedan,8703.954217,0,0.607362689,2023/8/17,2024/8/17,0
POL-004118,44.52345816,Sedan,11374.93305,1,0.602684535,2023/1/27,2024/1/27,0
POL-000923,67.94022703,Sedan,15255.6449,0,0.748988912,2023/1/13,2024/1/13,0
POL-001326,41.96398427,Sedan,15288.60018,1,0.906630842,2023/6/5,2024/6/5,0
POL-003276,62.79711464,Sedan,22204.54762,1,0.708263692,2023/9/30,2024/9/30,0
POL-004552,22.34790011,Sedan,7612.492077,0,0.788115528,2023/8/13,2024/8/13,0
POL-004545,44.30240246,Sedan,11470.23505,1,0.870993974,2023/7/1,2024/7/1,0
POL-009006,42.10541037,Sedan,17173.36095,0,0.871105501,2023/11/29,2024/11/29,0
POL-003075,51.67680178,Sports,15149.62096,1,0.885266458,2023/2/11,2024/2/11,0
POL-003573,63.99281781,Sports,22282.7586,1,0.889506903,2023/9/5,2024/9/5,0
POL-005085,35.7512405,Sedan,15839.00441,0,0.660204828,2023/4/20,2024/4/20,497.2964634
POL-005292,35.20383022,SUV,9369.541684,1,0.901870566,2023/3/8,2024/3/8,0
POL-005896,38.17843531,Sedan,12062.3253,1,0.900185444,2023/10/5,2024/10/5,0
POL-000307,48.46219713,Sports,13026.78906,0,0.852257454,2023/10/4,2024/10/4,6252.13039
POL-001448,63.86231326,Sedan,7679.025088,1,0.625909883,2023/8/13,2024/8/13,0
POL-002608,39.50777074,SUV,26176.87854,1,0.775960929,2023/1/27,2024/1/27,0
POL-009846,44.53113023,Sedan,14999.19979,1,0.84288652,2023/8/21,2024/8/21,0
POL-000023,40.17811907,Sports,11591.97451,1,0.744935579,2023/1/17,2024/1/17,45866.27772
POL-003736,46.78809474,Sedan,22581.33778,1,0.831011457,2023/6/24,2024/6/24,0
POL-006594,64.9536202,Sedan,7680.452227,0,0.748109533,2023/1/19,2024/1/19,0
POL-003089,51.07178043,SUV,13264.45705,0,0.878609638,2023/4/8,2024/4/8,0
POL-005579,69.39933501,SUV,13902.59715,0,0.593358333,2023/1/1,2024/1/1,3416.286707
POL-007428,40.89122841,Sedan,8514.169341,0,0.805970207,2023/1/23,2024/1/23,0
POL-002929,58.95629052,SUV,6078.948844,1,0.845889265,2023/5/17,2024/5/17,2190.845015
POL-009267,40.35524359,Sedan,21036.75504,1,0.749225958,2023/8/5,2024/8/5,1819.62421
POL-009244,56.41439356,SUV,11100.09387,0,0.761617157,2023/1/4,2024/1/4,0
POL-001578,53.56500901,Sports,13066.26374,1,0.871797962,2023/1/16,2024/1/16,5399.836414
POL-002556,73.86976964,Sedan,18281.18209,0,0.847562509,2023/7/4,2024/7/4,0
POL-003377,59.30855538,SUV,6431.50187,1,0.880982183,2023/5/16,2024/5/16,0
POL-007907,32.15034709,Sedan,5802.994149,1,0.852885871,2023/7/24,2024/7/24,0
POL-002508,45.65604867,Sports,16132.58534,0,0.851559465,2023/1/7,2024/1/7,0
POL-006628,55.88547545,SUV,4685.459613,0,0.792269022,2023/5/30,2024/5/30,0
POL-003918,42.30509462,SUV,14835.52513,1,0.710648752,2023/12/24,2024/12/24,0
POL-001170,39.96587792,Sedan,12527.604,1,0.84405937,2023/8/27,2024/8/27,1851.477092
POL-001038,57.43836524,Sedan,6733.063348,0,0.663275729,2023/1/4,2024/1/4,0
POL-006025,29.47339921,SUV,10728.04463,0,0.457861703,2023/1/11,2024/1/11,0
POL-004775,41.98073418,SUV,15099.96791,1,0.711288894,2023/9/19,2024/9/19,0
