ClaimID,PolicyID,ClaimDate,ClaimType,ReportedDamage,NumParties,Description,ClaimComplexityLabel,FraudLabel
CLM-000036,POL-000250,2023/11/5 4:13,Theft/Comprehensive,1033.860032,2,"This claim pertains to a theft incident involving two vehicles, resulting in damages totaling $1,033.86. Fortunately, no injuries were reported during the occurrence.",Simple,0
CLM-000037,POL-000250,2023/2/27 4:13,Theft/Comprehensive,1400.088972,2,"This claim involves a theft incident impacting two vehicles, resulting in damages totaling $1,400.09. Fortunately, no injuries were reported for anyone involved in the incident.",Simple,1
CLM-000040,POL-000261,2024/4/1 23:54,Theft/Comprehensive,1809.84171,2,"This claim pertains to a theft incident involving two vehicles, resulting in damages amounting to $1,809.84. Fortunately, no injuries were reported during the event.",Simple,0
CLM-000041,POL-000262,2024/8/17 12:44,Fender-Bender,5288.591085,1,"This fender-bender resulted in damages totaling $5,288.59, but fortunately, no injuries were reported. Only one vehicle was involved in the incident.",Simple,0
CLM-000042,POL-000263,2024/5/4 7:01,Major Collision,12449.70567,4,"A major collision involving four vehicles led to significant damage totaling $12,449.71, with reports of injuries sustained by at least one individual in the accident. The impact of the crash highlights the serious nature of the incident.",Complex,0
CLM-000044,POL-000267,2023/8/22 13:17,Fender-Bender,7099.386063,2,"This fender-bender involved two vehicles and resulted in damages totaling $7,099.39. Fortunately, no injuries were reported for anyone involved in the incident.",Simple,0
CLM-000046,POL-000284,2023/10/9 0:01,Theft/Comprehensive,1068.538122,2,"This claim involves a theft incident with damage totaling $1,068.54, affecting two vehicles. Fortunately, there were no injuries reported.",Simple,0
CLM-000047,POL-000286,2023/9/25 20:34,Theft/Comprehensive,4191.237586,1,"This claim involves a theft incident affecting a single vehicle, resulting in damages amounting to $4,191.24. Thankfully, there were no injuries reported during the event.",Simple,0
CLM-000052,POL-000332,2023/2/28 6:53,Theft/Comprehensive,1898.222331,2,"This claim concerns a theft incident involving two vehicles, resulting in damages amounting to $1,898.22. Fortunately, no injuries were reported during this event.",Simple,0
CLM-000058,POL-000356,2023/11/22 22:28,Theft/Comprehensive,9768.63103,1,"This claim is for a theft incident involving a single vehicle, resulting in damages totaling $9,768.63. Thankfully, there were no injuries reported during this incident.",Simple,0
CLM-000059,POL-000359,2024/6/26 17:34,Major Collision,12595.45082,5,"A major collision involving five vehicles resulted in significant damages totaling $12,595.45, with one or more individuals sustaining injuries in the incident. Emergency services arrived promptly to assist the injured parties at the scene.",Complex,0
CLM-000063,POL-000393,2023/8/21 9:59,Major Collision,2311.752796,1,"The major collision incurred damage totaling $2,311.75 to the vehicle, and unfortunately, it resulted in one or more injuries. While only one vehicle was involved, the impact of the accident was significant, highlighting the seriousness of the situation.",Moderate,0
CLM-000064,POL-000393,2024/1/28 9:59,Theft/Comprehensive,2187.972889,2,"This claim involves a theft incident with damages totaling $2,187.97 and two vehicles affected. Fortunately, there were no injuries reported in this situation.",Simple,1
CLM-000065,POL-000400,2024/4/8 16:49,Theft/Comprehensive,1266.302521,1,"This claim is for a theft incident involving one vehicle, resulting in damages of $1,266.30. Fortunately, there were no injuries reported during this incident.",Simple,0
CLM-000068,POL-000413,2023/8/3 11:59,Theft/Comprehensive,2175.741537,1,"This claim involves a theft incident where one vehicle was damaged, resulting in a loss of $2,175.74. Fortunately, there were no injuries reported.",Simple,0
CLM-000078,POL-000499,2023/6/19 6:25,Major Collision,4480.498874,2,"This major collision, involving two vehicles, resulted in injuries to at least one party. The damages amount to $4,480.50 as a result of the accident.",Moderate,1
CLM-000079,POL-000505,2023/9/5 12:59,Theft/Comprehensive,1942.743476,1,"This claim involves the theft of a single vehicle, resulting in damages totaling $1,942.74. Thankfully, no injuries were reported during this incident.",Simple,0
CLM-000081,POL-000509,2023/12/13 6:03,Fender-Bender,2980.111967,2,"In a fender-bender involving two vehicles, the incident resulted in injuries to at least one person and damage totaling $2,980.11. Both parties are seeking assistance with their claims as they navigate through the aftermath of this unfortunate collision.",Moderate,0
CLM-000082,POL-000513,2023/11/1 8:08,Fender-Bender,2130.862988,2,"This fender-bender involved two vehicles and resulted in damages amounting to $2,130.86. Fortunately, there were no injuries reported in the accident.",Simple,0
CLM-000086,POL-000532,2024/5/4 16:06,Theft/Comprehensive,2189.461977,1,"This claim involves the theft of a single vehicle, resulting in damages amounting to $2,189.46. Fortunately, there were no injuries reported in connection with this incident.",Simple,0
CLM-000087,POL-000532,2024/4/9 16:06,Fender-Bender,18472.53761,1,"A fender-bender resulted in significant damage totaling $18,472.54 to the single vehicle involved, but fortunately, there were no injuries reported in the incident.",Simple,0
CLM-000088,POL-000532,2023/11/9 16:06,Major Collision,5449.281964,2,"A major collision involving two vehicles resulted in significant damage amounting to $5,449.28. Unfortunately, the accident also led to one or more injuries among those involved.",Moderate,0
CLM-000094,POL-000571,2024/2/1 1:43,Major Collision,30547.24226,2,"In a major collision involving two vehicles, damages amounted to $30,547.24, and the accident unfortunately resulted in multiple injuries. The severity of the injuries is currently being assessed to determine the necessary medical response.",Complex,0
CLM-000101,POL-000635,2024/9/9 23:15,Theft/Comprehensive,1315.440533,2,"This claim relates to a theft incident involving two vehicles, resulting in damages amounting to $1,315.44. Fortunately, no injuries were reported during the event.",Simple,0
CLM-000102,POL-000646,2023/9/26 0:07,Theft/Comprehensive,1690.809227,2,"This claim pertains to a theft incident involving two vehicles, resulting in damages totaling $1,690.81. Fortunately, there were no injuries reported during the event.",Simple,0
CLM-000103,POL-000647,2023/6/6 5:07,Fender-Bender,5574.654322,2,"On a recent fender-bender involving two vehicles, there were no injuries reported, despite the damage totaling $5,574.65. Both parties involved have confirmed their well-being following the incident.",Simple,0
CLM-000105,POL-000659,2024/5/14 8:10,Theft/Comprehensive,1459.729699,1,"This claim involves a theft incident with no injuries reported. The total damage amounts to $1,459.73 for the single vehicle affected.",Simple,0
CLM-000107,POL-000687,2023/9/9 11:26,Major Collision,15559.81691,1,"This claim pertains to a major collision involving a single vehicle, resulting in damage amounting to $15,559.82. Fortunately, there were no injuries sustained in the incident.",Simple,0
CLM-000108,POL-000696,2024/4/18 10:07,Fender-Bender,5372.629953,2,"A fender-bender involving two vehicles resulted in damages totaling $5,372.63, but fortunately, no injuries were reported in the incident. Both parties were unharmed, allowing them to focus on resolving the damage.",Simple,1
CLM-000109,POL-000699,2023/12/19 10:21,Fender-Bender,6307.245349,5,"A fender-bender involving five vehicles resulted in damage totaling $6,307.25. Fortunately, there were no injuries reported in this accident.",Moderate,0
CLM-000113,POL-000728,2023/12/3 7:21,Fender-Bender,7022.526204,2,"A fender-bender between two vehicles caused significant damage totaling $7,022.53, but fortunately, there were no injuries reported in the accident.",Simple,0
CLM-000118,POL-000786,2023/9/20 15:40,Fender-Bender,4594.03102,1,"This claim involves a fender-bender incident that resulted in damage amounting to $4,594.03 for one vehicle. Thankfully, there were no injuries reported in the accident.",Simple,1
CLM-000120,POL-000797,2023/7/12 6:00,Fender-Bender,3854.940185,2,"This fender-bender involved two vehicles and resulted in damage totaling $3,854.94. Fortunately, there were no injuries reported.",Simple,0
CLM-000123,POL-000823,2023/7/13 4:07,Theft/Comprehensive,5667.271535,1,"This claim pertains to a theft incident involving a single vehicle, resulting in damages amounting to $5,667.27. Fortunately, no injuries were reported during the event.",Simple,0
CLM-000124,POL-000825,2024/1/2 3:27,Fender-Bender,6295.809031,2,"A minor fender-bender involving two vehicles resulted in damages totaling $6,295.81; fortunately, no injuries were reported in the incident. All parties involved were unharmed, allowing for a quick exchange of information.",Simple,0
CLM-000129,POL-000854,2023/9/21 11:41,Theft/Comprehensive,2196.80157,4,"This claim involves a theft incident affecting four vehicles, leading to a reported damage amount of $2,196.80. Fortunately, there were no injuries sustained during the event.",Moderate,0
CLM-000132,POL-000885,2023/12/19 19:53,Theft/Comprehensive,1583.422645,2,"This claim involves a theft incident affecting two vehicles, resulting in damages amounting to $1,583.42. Fortunately, no injuries were reported during the event.",Simple,0
CLM-000136,POL-000954,2023/10/7 18:05,Theft/Comprehensive,2605.934845,1,"This claim, amounting to $2,605.93, involves a single vehicle theft with no injuries reported. Fortunately, there were no injuries sustained during this incident.",Simple,0
CLM-000137,POL-000963,2024/2/20 7:59,Theft/Comprehensive,1118.065035,1,"This claim involves a theft where a single vehicle was targeted, resulting in damages amounting to $1,118.07. Fortunately, there were no injuries reported during this incident.",Simple,0
CLM-000142,POL-000988,2024/11/5 21:11,Theft/Comprehensive,4994.569287,1,"This claim involves a theft incident with losses amounting to $4,994.57 related to a single vehicle. Fortunately, there were no injuries reported during this event.",Simple,0
CLM-000143,POL-000988,2024/8/16 21:11,Theft/Comprehensive,1935.594994,3,"This claim involves a theft incident affecting three vehicles, resulting in damages amounting to $1,935.59. Thankfully, there were no injuries reported during the incident.",Simple,0
CLM-000144,POL-000993,2023/8/29 8:47,Fender-Bender,4168.227468,1,"A minor fender-bender resulted in vehicle damage estimated at $4,168.23, but thankfully, there were no injuries involved in the incident. Only one vehicle was affected in this accident.",Simple,0
CLM-000146,POL-001020,2024/9/10 21:41,Fender-Bender,6036.991635,2,"This fender-bender involved two vehicles and resulted in damages totaling $6,036.99. Fortunately, there were no injuries reported as a result of the accident.",Simple,0
CLM-000147,POL-001020,2023/11/23 21:41,Theft/Comprehensive,1399.892396,2,"This claim involves a comprehensive theft incident involving two vehicles, resulting in a loss of $1,399.89. Fortunately, there were no injuries reported during this incident.",Simple,1
CLM-000149,POL-001030,2024/3/1 12:55,Fender-Bender,2603.022933,2,"This fender-bender involving two vehicles resulted in damages totaling $2,603.02, but fortunately, no injuries were reported. All parties involved were unharmed.",Simple,0
CLM-000150,POL-001032,2023/9/8 11:22,Major Collision,3078.850456,2,"This major collision involving two vehicles resulted in injuries to one or more individuals, with damage estimated at $3,078.85. The impact of the accident has led to significant concerns regarding the health and safety of those involved.",Moderate,1
CLM-000152,POL-001060,2023/11/30 7:51,Fender-Bender,7129.852492,2,"This claim involves a minor fender-bender between two vehicles, resulting in damages amounting to $7,129.85. Thankfully, there were no injuries reported as a result of the accident.",Simple,0
CLM-000153,POL-001064,2023/3/2 6:36,Theft/Comprehensive,2942.982361,1,"This claim involves a theft of a single vehicle, resulting in damages amounting to $2,942.98. Fortunately, there were no injuries reported during the incident.",Simple,1
CLM-000157,POL-001099,2024/4/6 13:44,Major Collision,5598.743081,2,"The major collision involving two vehicles resulted in significant damage estimated at $5,598.74 and unfortunately left one or more individuals injured. The incident highlights the serious consequences of such accidents, underscoring the importance of road safety.",Moderate,0
CLM-000160,POL-001135,2023/12/26 18:38,Major Collision,25073.65317,2,"This major collision involving two vehicles has led to injuries, resulting in significant damage estimated at $25,073.65. The incident underscores the serious nature of the crash and the impact on those involved.",Complex,0
CLM-000161,POL-001136,2023/2/7 5:57,Major Collision,1489.048972,2,"A serious collision involving two vehicles resulted in damages amounting to $1,489.05 and left one or more individuals injured. The incident underscores the significant impact of the crash on those involved.",Moderate,0
CLM-000168,POL-001166,2023/5/20 5:42,Theft/Comprehensive,2123.772558,2,"This claim involves a theft incident affecting two vehicles, resulting in damages totaling $2,123.77. Thankfully, there were no injuries reported in this incident.",Simple,0
CLM-000169,POL-001168,2024/2/2 0:50,Theft/Comprehensive,1359.52038,1,"This claim pertains to a theft involving one vehicle, resulting in damages totaling $1,359.52. Fortunately, there were no injuries reported during this incident.",Simple,0
CLM-000174,POL-001208,2024/6/7 6:46,Theft/Comprehensive,5723.93934,2,"This claim involves a theft incident resulting in damage totaling $5,723.94 to two vehicles, fortunately without any injuries reported. Both vehicles were targeted, but the occupants were unharmed during the event.",Simple,0
CLM-000175,POL-001208,2024/5/28 6:46,Fender-Bender,7746.65257,1,"This fender-bender resulted in significant damage amounting to $7,746.65, but thankfully, no injuries were reported. Only one vehicle was involved in the incident.",Simple,0
CLM-000176,POL-001235,2023/10/25 7:32,Fender-Bender,4048.404851,2,"This claim involves a minor fender-bender between two vehicles, resulting in damages totaling $4,048.40. Fortunately, there were no injuries reported in the incident.",Simple,0
CLM-000177,POL-001241,2024/3/19 16:54,Theft/Comprehensive,7119.986445,1,"This claim pertains to a theft incident involving a single vehicle, resulting in a loss of $7,119.99. Thankfully, no injuries occurred during this event.",Simple,0
CLM-000178,POL-001244,2023/8/29 19:54,Fender-Bender,1990.737098,5,"A minor fender-bender involving five vehicles resulted in damages totaling $1990.74, but fortunately, no injuries were reported. All parties involved are safe and the incident is being handled.",Moderate,0
CLM-000179,POL-001250,2023/9/5 6:28,Theft/Comprehensive,2578.398865,1,"This claim involves a theft of an insured vehicle with damages totaling $2,578.40. Fortunately, no injuries occurred during the incident, as only one vehicle was involved.",Simple,1
CLM-000181,POL-001294,2024/3/3 6:27,Fender-Bender,15824.15753,2,"This fender-bender accident, involving two vehicles, resulted in significant damage amounting to $15,824.16, but thankfully, no injuries were reported for anyone involved.",Simple,0
CLM-000182,POL-001295,2023/6/25 22:45,Theft/Comprehensive,386.9361993,1,"This claim involves the theft of a single vehicle, resulting in damages amounting to $386.94. Fortunately, no injuries were reported during the incident.",Simple,0
CLM-000184,POL-001325,2023/10/21 2:01,Major Collision,17242.26491,5,"This major collision involved five vehicles and resulted in significant damage amounting to $17,242.26. Unfortunately, the accident also led to one or more injuries, highlighting the serious nature of the incident.",Complex,0
CLM-000185,POL-001325,2024/1/24 2:01,Major Collision,20477.25453,2,"The major collision involving two vehicles led to injuries sustained by at least one party, resulting in damages totaling $20,477.25. This unfortunate incident highlights the serious consequences that can arise from such accidents.",Complex,0
CLM-000188,POL-001354,2024/4/20 7:41,Major Collision,9099.297173,1,"The major collision resulted in significant damage estimated at $9,099.30 to the single vehicle involved, and unfortunately, one or more injuries were sustained in the incident. Emergency services attended the scene to assist those affected.",Moderate,1
CLM-000189,POL-001354,2023/12/9 7:41,Fender-Bender,11215.10727,1,"This claim involves a fender-bender incident that caused damage amounting to $11,215.11. Fortunately, there were no injuries reported, and only one vehicle was involved in the accident.",Simple,0
CLM-000201,POL-001479,2023/3/9 23:52,Fender-Bender,1625.677226,1,"This claim pertains to a minor fender-bender involving one vehicle, resulting in damages amounting to $1,625.68. Fortunately, there were no injuries reported from the incident.",Simple,0
CLM-000202,POL-001487,2024/1/19 14:41,Fender-Bender,1093.164578,1,"In a minor fender-bender, one vehicle sustained damage amounting to $1,093.16. Unfortunately, the accident also resulted in injuries to one or more parties involved.",Moderate,0
CLM-000203,POL-001496,2023/5/30 20:26,Theft/Comprehensive,2898.002779,2,"This claim involves a theft from two vehicles, resulting in damages totaling $2,898. Fortunately, no injuries were reported during the incident.",Simple,0
CLM-000206,POL-001518,2024/3/2 10:10,Theft/Comprehensive,3995.791044,1,"This claim involves a single vehicle theft resulting in a loss of $3,995.79. Thankfully, there were no injuries reported during this incident.",Simple,0
CLM-000207,POL-001525,2024/1/29 2:11,Major Collision,13342.13239,2,"A major collision involving two vehicles resulted in significant damage amounting to $13,342.13. Fortunately, there were no injuries reported in this accident.",Simple,0
CLM-000214,POL-001578,2023/7/19 8:59,Theft/Comprehensive,2238.425248,1,"This claim pertains to a theft incident involving one vehicle, resulting in damages amounting to $2,238.43. Fortunately, no injuries were reported during this event.",Simple,1
CLM-000215,POL-001578,2023/6/6 8:59,Fender-Bender,5804.49119,2,"This fender-bender involved two vehicles and resulted in damages amounting to $5,804.49. Fortunately, there were no injuries reported in the accident.",Simple,0
CLM-000219,POL-001590,2023/4/17 0:39,Major Collision,8684.523332,1,"A major collision occurred involving one vehicle, resulting in substantial damage estimated at $8,684.52 and unfortunately, there were injuries sustained in the accident. The impact was severe, highlighting the need for prompt medical attention for those affected.",Moderate,0
CLM-000220,POL-001592,2024/4/19 1:59,Fender-Bender,7718.343123,1,"This claim involves a single vehicle fender-bender that resulted in damage totaling $7,718.34, fortunately with no injuries reported. The incident indicates a clear financial impact, but the absence of injuries is a relief.",Simple,0
CLM-000221,POL-001595,2024/9/12 8:34,Fender-Bender,4363.51039,2,"This fender-bender involved two vehicles and resulted in damages totaling $4,363.51. Fortunately, no injuries were reported in the incident.",Simple,0
CLM-000222,POL-001597,2024/5/29 4:09,Fender-Bender,9828.707375,2,"A fender-bender involving two vehicles resulted in significant damage amounting to $9,828.71, but fortunately, no injuries were reported in the incident. Both parties were unharmed, allowing for a swift resolution.",Simple,0
CLM-000225,POL-001608,2023/3/23 16:36,Major Collision,14339.80008,1,"This claim involves a major collision resulting in damage amounting to $14,339.80 to a single vehicle. Fortunately, there were no injuries reported in this incident.",Simple,0
CLM-000231,POL-001640,2024/1/16 8:50,Theft/Comprehensive,4721.423145,1,"This claim involves a theft of a single vehicle, resulting in a loss amounting to $4,721.42. Thankfully, no injuries were reported in connection with the incident.",Simple,0
CLM-000234,POL-001648,2024/1/1 4:39,Theft/Comprehensive,1186.436686,1,"This claim involves a theft incident affecting a single vehicle, resulting in damages amounting to $1,186.44. Fortunately, there were no injuries reported during the event.",Simple,0
CLM-000235,POL-001648,2024/2/24 4:39,Theft/Comprehensive,9801.231942,1,"This claim involves a single vehicle that was stolen, resulting in a loss of $9,801.23. Fortunately, there were no injuries reported during this incident.",Simple,0
CLM-000236,POL-001648,2024/2/19 4:39,Theft/Comprehensive,3125.69134,2,"This claim involves a theft incident resulting in damage valued at $3,125.69, affecting two vehicles. Fortunately, there were no injuries reported during the incident.",Simple,1
CLM-000237,POL-001649,2023/12/10 9:43,Theft/Comprehensive,895.9124136,2,"This claim involves a theft incident affecting two vehicles, resulting in damages of $895.91. Fortunately, there were no injuries reported during the event.",Simple,0
CLM-000245,POL-001680,2023/1/24 13:17,Theft/Comprehensive,2747.954228,4,"This claim involves a theft incident affecting four vehicles with damages totaling $2,747.95. Fortunately, there were no injuries reported during this event.",Moderate,0
CLM-000247,POL-001705,2023/10/3 22:32,Theft/Comprehensive,2510.152169,2,"This claim involves a theft incident resulting in damage amounting to $2,510.15, affecting two vehicles. Thankfully, there were no injuries reported in connection with this event.",Simple,0
CLM-000252,POL-001734,2024/9/30 11:52,Fender-Bender,4987.444266,2,"This claim involves a minor fender-bender between two vehicles, resulting in damages totaling $4,987.44. Thankfully, there were no injuries reported in the accident.",Simple,0
CLM-000253,POL-001734,2024/7/14 11:52,Theft/Comprehensive,1420.938361,1,"This claim involves a theft of a single vehicle with damage assessed at $1,420.94, and fortunately, no injuries were reported in the incident. The owner is seeking coverage for the loss under their comprehensive policy.",Simple,0
CLM-000254,POL-001751,2023/8/19 5:32,Theft/Comprehensive,708.9425196,2,"This claim is for theft involving two vehicles, with damages totaling $708.94. Thankfully, there were no injuries reported in the incident.",Simple,0
CLM-000256,POL-001788,2024/1/10 1:03,Theft/Comprehensive,1506.42505,2,"This claim pertains to a theft involving two vehicles, resulting in damages of $1,506.43. Fortunately, no injuries were reported during the incident.",Simple,0
CLM-000257,POL-001817,2023/5/6 11:49,Theft/Comprehensive,1986.769336,1,"A theft incident involving one vehicle resulted in damages amounting to $1,986.77. Thankfully, no injuries were reported in this case.",Simple,0
CLM-000259,POL-001837,2024/3/19 4:35,Theft/Comprehensive,7425.808815,1,"This claim involves a theft incident affecting a single vehicle, resulting in damages amounting to $7,425.81. Thankfully, there were no injuries reported during this event.",Simple,0
CLM-000261,POL-001854,2024/5/12 21:07,Theft/Comprehensive,1948.252907,1,"This is a theft claim involving a single vehicle, with damages amounting to $1,948.25. Fortunately, there were no injuries reported during the incident.",Simple,0
CLM-000262,POL-001854,2023/11/26 21:07,Theft/Comprehensive,2646.011649,1,"This claim involves a theft incident affecting a single vehicle with damages amounting to $2,646.01. Fortunately, no injuries were reported during this event.",Simple,0
CLM-000268,POL-001918,2023/3/20 0:00,Fender-Bender,8595.105683,1,"This claim involves a fender-bender incident with one vehicle, resulting in damages totaling $8,595.11. Thankfully, there were no injuries reported in this accident.",Simple,0
CLM-000272,POL-001943,2023/8/13 1:10,Fender-Bender,4504.539342,1,"This fender-bender incident resulted in damages totaling $4,504.54 to the vehicle involved. Fortunately, there were no injuries reported.",Simple,0
CLM-000274,POL-001949,2023/10/13 22:52,Fender-Bender,8834.710685,1,"This claim involves a fender-bender resulting in damage amounting to $8,834.71 to one vehicle. Fortunately, there were no injuries reported in the incident.",Simple,0
CLM-000276,POL-001956,2023/7/8 9:20,Theft/Comprehensive,1306.388307,2,"This claim involves a theft incident resulting in damages of $1,306.39 to two vehicles, with no injuries reported. Fortunately, all parties involved were unharmed during the incident.",Simple,0
CLM-000278,POL-001969,2024/2/26 9:50,Fender-Bender,10505.93536,2,"This claim involves a fender-bender between two vehicles, resulting in damages totaling $10,505.94. Fortunately, there were no injuries reported in the incident.",Simple,0
CLM-000281,POL-001997,2024/1/21 20:35,Fender-Bender,5891.705408,1,"This fender-bender resulted in damage totaling $5,891.71 to one vehicle, but fortunately, no injuries were reported in the incident. The accident involved only a single car, allowing for a swift resolution without any personal harm.",Simple,0
CLM-000282,POL-002004,2024/1/4 9:38,Theft/Comprehensive,3401.296186,1,"This claim involves a theft of a single vehicle, resulting in damages amounting to $3,401.30. Thankfully, no injuries were reported during the incident.",Simple,0
CLM-000285,POL-002028,2023/2/10 9:12,Theft/Comprehensive,3212.322066,2,"This claim involves a theft incident with two vehicles, resulting in damages totaling $3,212.32. Fortunately, there were no injuries reported during the incident.",Simple,1
CLM-000286,POL-002034,2024/4/3 5:52,Theft/Comprehensive,1507.244043,2,"This claim involves a theft incident affecting two vehicles, resulting in damages amounting to $1,507.24. Fortunately, there were no injuries reported during the event.",Simple,1
CLM-000287,POL-002041,2024/3/9 9:59,Theft/Comprehensive,3291.648679,1,"This claim is for a theft involving one vehicle, resulting in damages totaling $3,291.65. Fortunately, no injuries were reported during this incident.",Simple,0
CLM-000293,POL-002121,2023/11/29 15:30,Theft/Comprehensive,1715.143673,2,"This claim involves a theft incident resulting in damages of $1,715.14 affecting two vehicles, with no injuries reported. Thankfully, all parties involved were unharmed during this unfortunate event.",Simple,0
CLM-000296,POL-002141,2024/7/21 11:39,Fender-Bender,14436.89257,1,"This claim pertains to a fender-bender incident involving one vehicle, resulting in damages amounting to $14,436.89. Fortunately, no injuries were reported during the accident.",Simple,1
CLM-000299,POL-002162,2024/10/18 2:36,Theft/Comprehensive,6018.449806,2,"This claim involves a theft incident affecting two vehicles, resulting in damages totaling $6,018.45. Fortunately, there were no injuries reported during this event.",Simple,0
CLM-000303,POL-002170,2024/5/3 13:12,Theft/Comprehensive,1780.606014,1,"This claim involves the theft of a single vehicle with damages amounting to $1,780.61. Fortunately, no injuries resulted from this incident.",Simple,0
CLM-000307,POL-002217,2023/12/4 1:46,Theft/Comprehensive,6807.859113,1,"This claim involves a comprehensive theft of a single vehicle, resulting in damages amounting to $6,807.86. Fortunately, there were no injuries reported during this incident.",Simple,0
CLM-000308,POL-002217,2023/10/7 1:46,Theft/Comprehensive,1654.590274,1,"This claim pertains to a theft incident involving a single vehicle, resulting in damages amounting to $1,654.59. Thankfully, there were no injuries reported during the incident.",Simple,0
CLM-000309,POL-002220,2024/3/23 1:28,Theft/Comprehensive,2312.249318,2,"This claim involves a comprehensive theft incident that resulted in damages amounting to $2,312.25, affecting two vehicles. Thankfully, there were no injuries reported during the event.",Simple,0
CLM-000314,POL-002254,2023/8/7 11:18,Theft/Comprehensive,1805.306768,2,"This claim involves a theft incident resulting in damages of $1,805.31 affecting two vehicles. Fortunately, there were no injuries reported during the event.",Simple,0
CLM-000317,POL-002275,2024/5/24 23:50,Major Collision,2570.648994,2,"This claim pertains to a major collision involving two vehicles, resulting in damages totaling $2,570.65. Fortunately, there were no injuries reported during the incident.",Simple,0
CLM-000319,POL-002294,2024/7/24 7:33,Theft/Comprehensive,736.2892686,1,"This claim involves a theft incident affecting a single vehicle, resulting in damages amounting to $736.29. Thankfully, there were no injuries reported during the event.",Simple,0
CLM-000322,POL-002326,2024/5/19 3:09,Theft/Comprehensive,1009.649657,1,"This claim involves a theft incident affecting a single vehicle, resulting in damages amounting to $1009.65. Fortunately, there were no injuries reported in connection with this incident.",Simple,0
CLM-000324,POL-002360,2024/8/2 12:01,Theft/Comprehensive,891.7515321,2,"This claim involves a theft incident resulting in damage of $891.75 across two vehicles, with no injuries reported. Both parties were unharmed during the event, allowing for a straightforward resolution of the incident.",Simple,0
CLM-000325,POL-002362,2024/4/23 12:13,Theft/Comprehensive,3242.550932,2,"This claim involves a theft incident resulting in damage of $3,242.55, affecting two vehicles. Fortunately, there were no injuries reported during the incident.",Simple,0
CLM-000327,POL-002369,2024/12/18 4:11,Theft/Comprehensive,2909.67779,2,"This claim pertains to a theft incident involving two vehicles, resulting in a total damage amount of $2,909.68. Thankfully, no injuries were reported during this incident.",Simple,0
